,game_id,season,week,home_team,away_team,home_moneyline,spread_line,total_line,temp,wind
6872,2024_12_PIT_CLE,2024,12,CLE,PIT,170.0,-3.5,36.5,36.0,13.0
6873,2024_12_KC_CAR,2024,12,CAR,KC,500.0,-11.0,43.0,61.0,5.0
6874,2024_12_MIN_CHI,2024,12,CHI,MIN,145.0,-3.0,39.5,47.0,5.0
6875,2024_12_TEN_HOU,2024,12,HOU,TEN,-375.0,8.0,40.5,50.0,8.0
6876,2024_12_DET_IND,2024,12,IND,DET,295.0,-7.0,50.5,50.0,8.0
6877,2024_12_NE_MIA,2024,12,MIA,NE,-360.0,7.5,46.0,77.0,6.0
6878,2024_12_TB_NYG,2024,12,NYG,TB,240.0,-6.5,40.5,50.0,13.0
6879,2024_12_DAL_WAS,2024,12,WAS,DAL,-625.0,10.5,45.0,55.0,5.0
6880,2024_12_DEN_LV,2024,12,LV,DEN,225.0,-6.5,41.5,50.0,8.0
6881,2024_12_SF_GB,2024,12,GB,SF,-290.0,6.5,44.5,43.0,11.0
6882,2024_12_ARI_SEA,2024,12,SEA,ARI,-105.0,-1.0,46.5,45.0,5.0
6883,2024_12_PHI_LA,2024,12,LA,PHI,142.0,-3.0,49.0,50.0,8.0
6884,2024_12_BAL_LAC,2024,12,LAC,BAL,140.0,-3.0,51.0,50.0,8.0
